City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Great Bend,US,296.22,38.3645,-98.7648,Best Western Angus Inn
1,Cape Town,ZA,289.2,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
2,Carnarvon,AU,294.3,-24.8667,113.6333,Hospitality Carnarvon
3,Hobart,AU,279.07,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
4,Blantyre,MW,285.61,-15.785,35.0085,Home Up Guest House
6,Leningradskiy,RU,277.42,69.3833,178.4167,Gostinitsa
7,Casino,AU,281.36,-28.8667,153.05,Squatters Homestead Motel
8,Maniitsoq,GL,278.5,65.4167,-52.9,Hotel Heilmann Lyberth
9,Pisco,PE,291.18,-13.7,-76.2167,Hotel San Isidro Oficial
10,Sept-Iles,CA,292.44,50.2001,-66.3821,Comfort Inn
11,Saldanha,ZA,288.18,-33.0117,17.9442,Blue Bay Lodge
12,Ushuaia,AR,280.96,-54.8,-68.3,Albatross Hotel
13,Rikitea,PF,296.18,-23.1203,-134.9692,People ThankYou
14,Ribeira Grande,PT,297.37,38.5167,-28.7,Quinta da Meia Eira
15,Atuona,PF,298.0,-9.8,-139.0333,Villa Enata
16,Lebu,CL,284.5,-37.6167,-73.65,Hostal Las Lilas
17,Deputatskiy,RU,283.28,69.3,139.9,Baza Otdykha
18,Bredasdorp,ZA,284.71,-34.5322,20.0403,Bredasdorp Country Manor
19,Waingapu,ID,295.48,-9.6567,120.2641,Pondok Wisata Elim
21,Camacha,PT,293.83,33.0833,-16.3333,Hotel Porto Santo & Spa
23,Mataura,NZ,281.75,-46.1927,168.8643,Ellie's Villa
24,Koumac,NC,292.72,-20.5667,164.2833,Le Monitel
25,Mar Del Plata,AR,283.2,-38.0023,-57.5575,Gran Hotel Mar del Plata
26,Miraflores,MX,294.51,19.2167,-98.8083,Hotel Mansión
27,Busselton,AU,288.6,-33.65,115.3333,Observatory Guest House
28,Punta Arenas,CL,280.21,-53.15,-70.9167,Hotel Hain
29,San Cristobal,VE,296.25,7.7669,-72.225,Pirineos
30,Bar-Le-Duc,FR,296.36,48.75,5.1667,ibis budget Bar-le-Duc
31,Porto Torres,IT,299.25,40.835,8.3972,Hotel Elisa
32,Bluff,NZ,281.93,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
34,Chokurdakh,RU,282.84,70.6333,147.9167,
35,Port Alfred,ZA,290.47,-33.5906,26.891,The Halyards Hotel
36,Puerto Ayora,EC,299.13,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Hobyo,SO,297.58,5.3505,48.5268,Iftin hotel hobyo
38,Xichang,CN,290.8,27.8964,102.2634,Xichang ibis Hotel
39,Yellowknife,CA,291.44,62.456,-114.3525,The Explorer Hotel
41,Buin,CL,293.39,-33.7333,-70.75,Paihuen
42,Husavik,IS,284.34,66.0449,-17.3389,Bjarnabúð
43,Aklavik,CA,283.15,68.2191,-135.0107,Aklavik Inn
46,Ambon,ID,298.23,-3.6954,128.1814,Swiss-Belhotel Ambon
47,Bengkulu,ID,297.2,-3.8004,102.2655,Grage Hotel Bengkulu
48,Troitskoye,RU,288.92,52.9821,84.6757,
49,Honiara,SB,297.81,-9.4333,159.95,Heritage Park Hotel
50,Sorong,ID,298.49,-0.8833,131.25,Waigo Splash Hotel
53,Kautokeino,NO,280.83,69.0125,23.0412,Thon Hotel Kautokeino
54,New Norfolk,AU,278.87,-42.7826,147.0587,The Shingles Riverside Cottages
55,Alugan,PH,299.34,12.2188,125.4808,JM Lodge
56,Vila Velha,BR,299.12,-20.3297,-40.2925,Hotel Vitória Palace
57,Lindi,TZ,292.97,-10.0,39.7167,Lindi paradise house
58,Bagotville,AU,281.4,-28.9833,153.4167,Broadwater Sunrise Caravan Park
59,Port Lincoln,AU,284.64,-34.7333,135.8667,Port Lincoln Hotel
60,Sechura,PE,298.36,-5.5569,-80.8222,Hospedaje Costa Bella
62,Qaanaaq,GL,278.27,77.484,-69.3632,Qaanaaq Hotel
63,Clyde River,CA,277.28,70.4692,-68.5914,Qamaq Hotel
65,Hauterive,FR,297.57,46.0901,3.4459,Aletti Palace Hotel
68,Naze,JP,299.66,28.3667,129.4833,Shishime Hotel
69,Boa Vista,BR,299.14,2.8197,-60.6733,Aipana Plaza Hotel
70,Khatanga,RU,288.32,71.9667,102.5,"""Khatanga"""
72,Port Hawkesbury,CA,298.65,45.6169,-61.3485,MacKenzie House Tourist Home B&B
73,Havre-Saint-Pierre,CA,291.35,50.2334,-63.5986,Auberge Niapiskau
74,Dali,CN,290.77,25.7,100.1833,Dali Travelling With Hostel
76,Te Anau,NZ,277.89,-45.4167,167.7167,Kingsgate Hotel Te Anau
77,Gbadolite,CD,294.26,4.2833,21.0167,Zenic
79,Souillac,MU,294.36,-20.5167,57.5167,Shanti Maurice Resort & Spa
80,Bandarbeyla,SO,297.93,9.4942,50.8122,JABIR HOTEL
82,Kiunga,PG,296.35,-6.1219,141.2906,Airport Lodge Kiunga
84,Castro,BR,293.61,-24.7911,-50.0119,CHACARA BAILLY
86,Nome,US,286.57,64.5011,-165.4064,Dredge 7 Inn
87,Sao Filipe,CV,299.47,14.8961,-24.4956,Hotel Xaguate
88,Tazovskiy,RU,284.18,67.4667,78.7,TazHostel
89,Vaini,TO,296.24,-21.2,-175.2,Keleti Beach Resort
90,Lavrentiya,RU,279.65,65.5833,-171.0,
91,Malanville,BJ,297.92,11.8685,3.3899,Hotel Sejour du Sahel
92,Deer Lake,CA,294.07,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
93,Vangaindrano,MG,291.88,-23.35,47.6,Hotel Fanilo
96,Fortuna,US,296.44,40.5982,-124.1573,Super 8 by Wyndham Fortuna
97,Avarua,CK,298.18,-21.2078,-159.775,Paradise Inn
98,Kaitangata,NZ,278.58,-46.2817,169.8464,Kaitangata Motor Camp
99,Tilichiki,RU,281.61,60.4667,166.1,
100,Dikson,RU,279.48,73.5069,80.5464,
101,Kutum,SD,299.23,14.2,24.6667,Dibbo areaمنطقة دبو
102,Saint-Joseph,RE,292.15,-21.3667,55.6167,"""Plantation Bed and Breakfast"
103,Matane,CA,292.33,48.8286,-67.522,Hotel-Motel Belle Plage
108,Ilongero,TZ,289.7,-4.6667,34.8667,
109,Paamiut,GL,278.62,61.994,-49.6678,Pistut
110,Thompson,CA,296.24,55.7435,-97.8558,Burntwood Hotel
111,General Roca,AR,288.71,-39.0333,-67.5833,Hotel El Recreo
112,Kruisfontein,ZA,288.62,-34.0033,24.7314,Oyster Bay House Rental
113,Ginir,ET,288.91,7.1333,40.7,Sura Dare Village
115,Kodiak,US,288.88,57.79,-152.4072,Best Western Kodiak Inn
116,Saskylakh,RU,289.37,71.9167,114.0833,
117,Calvinia,ZA,280.8,-31.4707,19.776,Die Lemoenhuis
118,Hermanus,ZA,287.39,-34.4187,19.2345,Misty Waves Boutique Hotel
119,Provideniya,RU,282.57,64.3833,-173.3,
120,Mahebourg,MU,294.31,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Severo-Kurilsk,RU,284.69,50.6789,156.125,Kak Doma
122,Manokwari,ID,298.51,-0.8667,134.0833,Swiss Belhotel Manokwari
123,Karratha,AU,293.31,-20.7377,116.8463,ibis Styles Karratha
125,Port Elizabeth,ZA,289.31,-33.918,25.5701,39 On Nile Guest House
126,Nikolskoye,RU,289.71,59.7035,30.7861,Tourist House - Sablino
127,Turukhansk,RU,284.88,65.8167,87.9833,"ООО ""Туруханская пушнина"""
128,Hambantota,LK,298.97,6.1241,81.1185,Bungalow 63
129,Comodoro Rivadavia,AR,284.07,-45.8667,-67.5,Austral Hotel
130,Ilulissat,GL,283.16,69.2167,-51.1,Hotel Arctic
131,Meulaboh,ID,297.38,4.1363,96.1285,Kost Pria
133,Yerbogachen,RU,290.13,61.2767,108.0108,
134,Faanui,PF,299.48,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Aksarka,RU,289.7,66.5606,67.7975,
138,Stykkisholmur,IS,281.71,65.0757,-22.7297,Fosshótel Stykkishólmur
139,Peleduy,RU,289.48,59.6289,112.7406,Гостиница «Уют»
140,Iqaluit,CA,287.0,63.7506,-68.5145,Frobisher Inn
141,Tasiilaq,GL,276.87,65.6145,-37.6368,The Red House
142,Robertsport,LR,298.02,6.7533,-11.3686,Kwepunha Retreat
143,Boromo,BF,299.13,11.75,-2.9333,Sama Camp
144,Okhotsk,RU,288.13,59.3833,143.3,
145,Burnie,AU,278.67,-41.0667,145.9167,Beachfront Voyager Motor Inn
147,Kamaishi,JP,295.22,39.2667,141.8833,Hotel Route Inn Kamaishi
148,Chuy,UY,283.33,-33.6971,-53.4616,Nuevo Hotel Plaza
149,Kabo,CF,294.0,7.6994,18.629,
150,Sisimiut,GL,280.18,66.9395,-53.6735,Hotel Sisimiut
151,Kupang,ID,296.31,-10.1667,123.5833,Hotel On The Rock by Prasanthi
156,Havoysund,NO,283.28,70.9963,24.6622,Arctic View Glamping & Restaurant
158,Barrow,US,273.93,71.2906,-156.7887,King Eider Inn
159,Torquay,GB,292.16,50.4638,-3.5143,The Grand Hotel
160,Upernavik,GL,279.29,72.7868,-56.1549,Café de Upernavik
161,Merauke,ID,297.72,-8.4667,140.3333,
162,Pevek,RU,277.38,69.7008,170.3133,Severnoye Zoloto
165,East London,ZA,294.18,-33.0153,27.9116,Tu Casa
167,Ostrovnoy,RU,283.29,68.0531,39.5131,
169,Yumen,CN,298.06,40.2833,97.2,
170,Slatinany,CZ,295.86,49.9211,15.8138,Apartmány Štěpánkova 85
171,Huarmey,PE,293.51,-10.0681,-78.1522,Hotel Miramar
172,Cherskiy,RU,285.23,68.75,161.3,Gostinitsa
173,Segezha,RU,288.6,63.7415,34.3222,Sampo Hotel
175,Poum,NC,294.81,-20.2333,164.0167,
176,Longyearbyen,SJ,279.06,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
177,Iuna,BR,294.53,-20.3458,-41.5358,Hotel São Judas Tadeu
180,Hualmay,PE,292.05,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
181,Muzhi,RU,289.66,65.3667,64.6667,Gostinitsa
182,Molochnoye,RU,290.46,59.2917,39.6787,"""Detskiy Sad Dlya Vzroslykh"""
183,Wanning,CN,299.56,18.8003,110.3967,Paradise Hotel
184,Tuktoyaktuk,CA,280.15,69.4541,-133.0374,End of The Road Ltd.
185,Bara,NG,296.86,10.3744,10.7288,
186,Skrunda,LV,284.31,56.6833,22.0167,Skrunda Manor
187,Chake Chake,TZ,295.58,-5.2459,39.7666,Hotel Archipelago
189,Norman Wells,CA,289.17,65.282,-126.8329,Heritage Hotel
190,Tiksi,RU,284.04,71.6872,128.8694,Arktika
194,Mbanza-Ngungu,CD,295.25,-5.25,14.8667,Hotel Full Business
195,Shingu,JP,297.69,33.7333,135.9833,Shingu UI Hotel
197,Juneau,US,289.17,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
199,Bongandanga,CD,294.66,1.5,21.05,
200,Port-Gentil,GA,297.13,-0.7193,8.7815,Fengshui Residence
201,Emerald,AU,281.27,-23.5333,148.1667,The Irish Village
206,Luwuk,ID,297.67,-0.9516,122.7875,Hotel Santika Luwuk
207,Severnoye,RU,288.96,56.3491,78.3619,Gostinitsa Severyanka
208,Rio Grande,BR,290.21,-32.035,-52.0986,Hotel Atlântico Rio Grande
213,Saint-Augustin,CA,286.97,51.226,-58.6502,
214,Saint-Philippe,RE,292.71,-21.3585,55.7679,Le four à pain
215,Cerkezkoy,TR,296.25,41.285,28.0003,City Hotel
216,Qasigiannguit,GL,281.74,68.8193,-51.1922,Almost HOME
217,Yenotayevka,RU,298.25,47.2456,47.0281,Hotel Voyage
218,Dunedin,NZ,280.26,-45.8742,170.5036,Scenic Hotel Southern Cross
219,Jian,CN,299.88,27.1172,114.9793,Luling International Hotel
220,Torbay,CA,290.24,47.6666,-52.7314,Gallows Cove
221,Airai,TL,283.8,-8.9266,125.4092,
223,Othaya,KE,287.29,-0.5652,36.9609,Wangome Farm
224,Tuatapere,NZ,277.62,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
225,Bonthe,SL,297.73,7.5264,-12.505,Bonthe Holiday Village
226,Kununurra,AU,284.14,-15.7667,128.7333,Hotel Kununurra
227,Plettenberg Bay,ZA,290.04,-34.0527,23.3716,Thanda Vista B&B
229,Klaksvik,FO,285.66,62.2266,-6.589,Airbnb rooms
230,Zverinogolovskoye,RU,287.76,54.4586,64.8542,
231,Sayyan,YE,291.32,15.1718,44.3244,متنزه و بحيرة سيان
232,Pietersburg,ZA,283.62,-23.9045,29.4688,Fusion Boutique Hotel
233,Syke,DE,290.97,52.9,8.8333,ReVital & Wohlfühlhotel Steimker Hof
235,Hailar,CN,288.03,49.2,119.7,Holiday Inn & Suites Hulunbuir
236,Sorland,NO,285.07,67.667,12.6934,Sjybrygga fiskecamp
237,Asau,RO,294.66,46.4333,26.4,Casa Mika Ciobanus
238,General Pico,AR,288.14,-35.6566,-63.7568,Euskadi Hotel
239,Bunesti,RO,295.03,46.8333,27.9667,
240,Geraldton,AU,287.38,-28.7667,114.6,Broadwater Mariner Resort
242,Lugo,ES,293.02,43.0,-7.5,Hotel Torre de Núñez
243,Haines Junction,CA,289.12,60.7522,-137.5108,Parkside Inn
244,Codrington,AU,280.33,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
245,Ponta Do Sol,PT,297.43,32.6667,-17.1,Hotel do Campo
247,Vardo,NO,283.14,70.3705,31.1107,Vardø Hotel AS
248,Xiongzhou,CN,299.84,25.1167,114.3,Xinhewan Business Hotel
249,Buenos Aires,AR,288.0,-34.6132,-58.3772,Hotel NH Buenos Aires City
250,Oktyabrskoye,RU,290.23,43.0645,44.7417,Prolesok Mini-hotel
251,Imbituba,BR,299.18,-28.24,-48.6703,Praia Hotel Imbituba
252,Glossa,GR,297.96,35.4717,23.7763,Elia Hotel & Spa
254,Quatre Cocos,MU,294.21,-20.2078,57.7625,Sunrise Attitude Hotel
255,Baykit,RU,289.02,61.67,96.37,
256,Shitanjing,CN,295.95,39.2342,106.3439,Yingbin Hotel
257,Skibbereen,IE,289.32,51.55,-9.2667,The West Cork Hotel
259,Tautira,PF,298.34,-17.7333,-149.15,Pension Oaoa
260,Ustyuzhna,RU,287.69,58.8394,36.4321,Зеленая Жемчужина
262,Fairlie,GB,289.1,55.756,-4.8556,Brisbane House Hotel
263,Isiro,CD,292.83,2.7739,27.616,Guest House Hewa Bora
264,Verkhnyaya Khava,RU,293.19,51.8404,39.9413,Gostinitsa
266,Vila Franca Do Campo,PT,296.38,37.7167,-25.4333,Pestana Bahia Praia
267,Igarka,RU,283.15,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
268,Mareeba,AU,288.55,-17.0,145.4333,Trinity Plains Tourist Park
269,Tucano,BR,297.89,-10.9631,-38.7867,Pousada Pé De Arruda
270,Great Yarmouth,GB,290.6,52.6083,1.7305,Comfort Hotel Great Yarmouth
275,Saint-Gabriel,CA,299.77,46.3001,-73.3824,Auberge Le St Gab
276,Karasjok,NO,280.69,69.4719,25.5112,Karasjok camping AS
277,Mozelos,PT,295.3,41.8677,-8.3978,Casa do Rio Vez - Alojamento de Charme
278,Cidreira,BR,291.62,-30.1811,-50.2056,Hotel Castelo
279,Mao,ES,299.46,39.8885,4.2658,ARTIEM Capri
281,Yarim,YE,289.34,14.298,44.3779,وليد المسوري ابو اسد
282,Nizhniy Kuranakh,RU,291.14,58.8353,125.4869,Park Pobedy
283,Gorontalo,ID,296.23,0.5412,123.0595,Maqna Hotel by Prasanthi
284,Iglesias,IT,299.83,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia Sud-Ovest, Sulcis iglesiente, trekking, climbing Masua, Nebida, Miniere, Porto Flavia, Grotta Sardegna, Pan di Zucchero, Cammino Minerario Santa Barbara, Caserma “Trieste”,"
285,Salalah,OM,297.01,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
286,Montana,BG,294.18,43.4125,23.225,Веста
287,Pueblo,US,299.6,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
288,Cove,BJ,295.61,7.221,2.3402,TG Hôtel
289,Fairbanks,US,290.38,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
290,Mehamn,NO,283.12,71.0357,27.8492,Mehamn Arctic Hotel AS
291,Pokhara,NP,295.55,28.2333,83.9833,OYO 170 Hotel View Point
292,Vestmannaeyjar,IS,283.7,63.4427,-20.2734,Glamping & Camping
293,Takoradi,GH,297.16,4.8845,-1.7554,Raybow International Hotel
298,Rafaela,AR,292.04,-31.2503,-61.4867,Parra Hotel & Suites
299,Pingzhuang,CN,290.92,42.0372,119.2889,Haoke Guest House
300,San Policarpo,PH,299.5,12.1791,125.5072,Agapita M. Nicart
302,Saiha,IN,294.64,22.4833,92.9667,"Circuit House, Siaha"
304,Bell Ville,AR,290.74,-32.6259,-62.6887,Hotel Central
309,Maragogi,BR,297.35,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
310,Okitipupa,NG,295.78,6.5047,4.7839,Coastal Hotel & Suites
311,Soyo,AO,294.8,-6.1349,12.3689,Hospedaria ndozi'ame
312,Viedma,AR,284.47,-40.8135,-62.9967,Hotel Cristal
313,Hasaki,JP,298.37,35.7333,140.8333,Inubosaki Kanko Hotel
315,Olafsvik,IS,280.63,64.8945,-23.7142,Hotel Olafsvik
316,Kangaatsiaq,GL,277.91,68.3065,-53.4641,Nukissiorfiit
318,Jiayuguan,CN,297.35,39.8167,98.3,Jiugang Hotel - Jiayuguan
319,Foam Lake,CA,295.16,51.65,-103.5343,Fishing Lake Lodge LTD
320,Ardon,RU,291.7,43.17,44.29,Blossom
321,Fuxin,CN,294.84,42.0156,121.6589,Xinya International Hotel
324,Margate,GB,291.65,51.3813,1.3862,Premier Inn Margate hotel
325,Belmonte,BR,295.96,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
327,Ginda,IN,292.18,30.6945,78.4932,Sunil Bisht
330,Hofn,IS,283.95,64.2539,-15.2082,Hótel Höfn
332,Port Hardy,CA,292.25,50.6996,-127.4199,Airport Inn-Port Hardy
333,Arkhara,RU,294.37,49.4212,130.0842,"Gostinitsa ""Arkhara"""
334,Jega,NG,296.37,12.2175,4.3792,ALH. Nasiru Ibrahim
335,Esperance,AU,287.13,-33.8667,121.9,Hospitality Esperance
337,Shenjiamen,CN,299.7,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
